worksetName,categoryName,objectCount
1-02-A,Doors,6
1-02-A,Floors,15
1-02-A,Rooms,16
1-02-A,Walls,111
1-02-A,Windows,4
1-03-A,Doors,5
1-03-A,Floors,15
1-03-A,Walls,92
1-03-A,Windows,3
1-04-A,Doors,5
1-04-A,Floors,15
1-04-A,Walls,94
1-04-A,Windows,3
1-05-ST,Floors,3
1-05-ST,Walls,48
1-05-ST,Windows,2
1-06-L,Floors,2
1-06-L,Rooms,1
1-06-L,Walls,37
1-06-L,Windows,1
1-07-G,Doors,2
1-07-G,Floors,12
1-07-G,Walls,87
1-07-G,Windows,3
1-08-O,Doors,5
1-08-O,Floors,12
1-08-O,Walls,102
1-08-O,Windows,3
1-09-A,Doors,5
1-09-A,Floors,15
1-09-A,Walls,92
1-09-A,Windows,3
1-10-A,Doors,5
1-10-A,Floors,15
1-10-A,Walls,92
1-10-A,Windows,3
1-11-A,Doors,5
1-11-A,Floors,15
1-11-A,Walls,113
1-11-A,Windows,3
2-01-A,Doors,5
2-01-A,Floors,17
2-01-A,Walls,120
2-01-A,Windows,3
2-02-A,Doors,5
2-02-A,Floors,13
2-02-A,Walls,97
2-02-A,Windows,3
2-03-A,Doors,5
2-03-A,Floors,13
2-03-A,Walls,97
2-03-A,Windows,3
2-04-A,Doors,5
2-04-A,Floors,13
2-04-A,Walls,99
2-04-A,Windows,3
2-05-ST,Floors,2
2-05-ST,Walls,51
2-05-ST,Windows,2
2-06-A,Doors,5
2-06-A,Floors,15
2-06-A,Walls,99
2-06-A,Windows,3
2-07-A,Doors,5
2-07-A,Floors,15
2-07-A,Walls,97
2-07-A,Windows,3
2-08-A,Doors,5
2-08-A,Floors,13
2-08-A,Walls,97
2-08-A,Windows,3
2-09-A,Doors,5
2-09-A,Floors,14
2-09-A,Walls,98
2-09-A,Windows,3
2-10-A,Doors,5
2-10-A,Floors,14
2-10-A,Walls,98
2-10-A,Windows,3
2-11-A,Doors,5
2-11-A,Floors,14
2-11-A,Walls,118
2-11-A,Windows,3
분리발주공사,Walls,16
현장공사분-금속공사,Floors,8
현장공사분-금속공사,Walls,72
현장공사분-방수공사,Walls,16
현장공사분-수장공사,Floors,11
현장공사분-수장공사,Walls,167
현장공사분-지붕및홈통공사,Floors,2
현장공사분-지붕및홈통공사,Walls,3
현장공사분-창호및유리공사,Doors,6
현장공사분-창호및유리공사,Walls,1
현장공사분-창호및유리공사,Windows,3
현장공사분-철골공사,Floors,36
현장공사분-철근콘크리트공사,Floors,2
현장공사분-타일및돌공사,Floors,21
현장공사분-타일및돌공사,Rooms,1
현장공사분-타일및돌공사,Walls,113
