worksetName,categoryName,objectCount,materialCount,totalArea,totalVolume
1-02-A,Doors,6,2,259.638959643223446,21.8044341668202715
1-02-A,Floors,15,9,1655.997405546294760,393.1293626037468440
1-02-A,Rooms,16,0,0,0
1-02-A,Walls,111,13,4361.5998238993738183,414.7135286826545240863
1-02-A,Windows,4,7,285.93775556584074,18.9421909150752508
1-03-A,Doors,5,2,226.320965374366156,18.0830585175867320
1-03-A,Floors,15,9,1655.973291353627157,393.12540698297117235
1-03-A,Walls,92,12,3872.6150709816285262,375.8241641738761442573
1-03-A,Windows,3,7,280.64379822037510,18.3108589118827434
1-04-A,Doors,5,2,226.320965374366146,18.0830585175867078
1-04-A,Floors,15,9,1655.955964490994890,393.10488953949903185
1-04-A,Walls,94,12,3892.7902662058990172,380.8613552199596159813
1-04-A,Windows,3,7,280.64379822037510,18.3108589118827454
1-05-ST,Floors,3,1,388.92915652478655,229.174041550066835
1-05-ST,Walls,48,7,1597.9946735608932690,172.76472307466749031
1-05-ST,Windows,2,3,229.91134165128383,17.1924534524944034
1-06-L,Floors,2,1,405.51025025523483,239.47455723734336
1-06-L,Rooms,1,0,0,0
1-06-L,Walls,37,6,1127.2144686423607983,92.92795631204460389
1-06-L,Windows,1,3,60.61722689111798,3.3946255944476134
1-07-G,Doors,2,2,80.143402860529996,7.6416478582303725
1-07-G,Floors,12,9,889.8495818139406504,308.33512404698973734
1-07-G,Walls,87,12,3731.9018954649996249,441.078145293604488493
1-07-G,Windows,3,3,194.59491255126178,14.2248283940009774
1-08-O,Doors,5,2,216.670482525609890,18.4020293009849314
1-08-O,Floors,12,7,1255.935052459827281,363.53954859716387472
1-08-O,Walls,102,11,4369.29387025800691584,418.0361353896775151834
1-08-O,Windows,3,6,221.91262936307704,13.1298508696829664
1-09-A,Doors,5,2,226.320965374366146,18.0830585175867622
1-09-A,Floors,15,9,1656.471770224051904,392.95785434626885397
1-09-A,Walls,92,12,3875.7400245212434725,376.3376845971562759714
1-09-A,Windows,3,7,280.64379822037510,18.3108589118827454
1-10-A,Doors,5,2,226.320965374366156,18.0830585175867796
1-10-A,Floors,15,9,1656.895175046972309,393.02590025191325851
1-10-A,Walls,92,12,3872.6142664594578440,375.8156889658746143218
1-10-A,Windows,3,7,280.64379822037510,18.3108589118827434
1-11-A,Doors,5,2,226.320965374366146,18.0830585175866565
1-11-A,Floors,15,9,1655.456921152772618,392.8268658049772656
1-11-A,Walls,113,13,4609.4058013084495509,527.7788419220795047335
1-11-A,Windows,3,7,280.64379822037510,18.3108589118827454
2-01-A,Doors,5,2,226.320965374366156,18.0830585175867007
2-01-A,Floors,17,10,1657.704722058347571,394.68251608603902168
2-01-A,Walls,120,14,4667.0527750386083820,541.6897060798860327331
2-01-A,Windows,3,7,280.64379822037510,18.3108589118827434
2-02-A,Doors,5,2,226.320965374366146,18.0830585175866788
2-02-A,Floors,13,10,1359.312938953073866,351.44559890071970692
2-02-A,Walls,97,13,3876.0481021605383085,379.3132426955818997010
2-02-A,Windows,3,7,280.64379822037510,18.3108589118827454
2-03-A,Doors,5,2,226.320965374366156,18.0830585175867196
2-03-A,Floors,13,10,1359.312938971043065,351.44559891508766361
2-03-A,Walls,97,13,3876.0204458690233152,379.3210157436533001143
2-03-A,Windows,3,7,280.64379822037510,18.3108589118827434
2-04-A,Doors,5,2,226.320965374366146,18.0830585175867048
2-04-A,Floors,13,10,1359.312938953503600,351.45268655438450249
2-04-A,Walls,99,13,3896.6285105392019779,384.3094677260493096921
2-04-A,Windows,3,7,280.64379822037510,18.3108589118827454
2-05-ST,Floors,2,1,199.16531913567497,117.617314450201884
2-05-ST,Walls,51,8,1160.9789282436411745,124.05242501662198353
2-05-ST,Windows,2,4,198.29018201783890,13.4695548834994794
2-06-A,Doors,5,2,226.320965374366156,18.0830585175867771
2-06-A,Floors,15,9,1650.966971252961001,391.72322862269942369
2-06-A,Walls,99,13,3893.0837567408734849,383.7878921601371119242
2-06-A,Windows,3,7,280.64379822037510,18.3108589118827434
2-07-A,Doors,5,2,226.320965374366146,18.0830585175867630
2-07-A,Floors,15,9,1650.370139275392058,391.74607278506172729
2-07-A,Walls,97,13,3879.0842652370557577,379.8264956564029557103
2-07-A,Windows,3,7,280.64379822037490,18.3108589118827754
2-08-A,Doors,5,2,226.320965374366156,18.0830585175867771
2-08-A,Floors,13,10,1359.312938963758711,351.44559891288492479
2-08-A,Walls,97,13,3876.0415599466341857,379.3226971108770274729
2-08-A,Windows,3,7,280.64379822037510,18.3108589118827434
2-09-A,Doors,5,2,226.320965374366146,18.0830585175867630
2-09-A,Floors,14,11,1367.186106709885477,351.83721690850998902
2-09-A,Walls,98,13,3892.5111029044254314,381.1581586089397732260
2-09-A,Windows,3,7,280.64379822037510,18.3108589118827454
2-10-A,Doors,5,2,210.764623426612656,18.0738017181160576
2-10-A,Floors,14,11,1366.855211339303430,351.81677373411959589
2-10-A,Walls,98,13,3894.1249661671330088,381.2290568696844101580
2-10-A,Windows,3,7,280.64379822037510,18.3108589118827434
2-11-A,Doors,5,2,226.320965374366146,18.0830585175866570
2-11-A,Floors,14,11,1366.614099575770075,351.81199564079510659
2-11-A,Walls,118,13,4686.1435787151363598,542.8671315269747863680
2-11-A,Windows,3,7,280.64379822037510,18.3108589118827454
분리발주공사,Walls,16,1,2745.022127081609044,4682.4901499304622759
현장공사분-금속공사,Floors,8,1,415.320083088154802,27.2519739559154332
현장공사분-금속공사,Walls,72,1,1221.5697344735493128,79.019284467076584192
현장공사분-방수공사,Walls,16,1,1719.7844151602289786,84.63505980119239064
현장공사분-수장공사,Floors,11,4,492.549447748621040,30.29849816224435089
현장공사분-수장공사,Walls,167,9,13880.5123549464461515,1759.406818558620210523
현장공사분-지붕및홈통공사,Floors,2,1,369.79207179852472,60.661343687937276
현장공사분-지붕및홈통공사,Walls,3,1,384.34896213357420,62.407526361400904
현장공사분-창호및유리공사,Doors,6,5,631.750272206904465,52.575505190073225
현장공사분-창호및유리공사,Walls,1,1,3.2759961353488336,1.6122028225141873
현장공사분-창호및유리공사,Windows,3,4,516.96184817694459,38.4100769229768514
현장공사분-철골공사,Floors,36,1,107.8220906431938903,12.38114557910691901
현장공사분-철근콘크리트공사,Floors,2,3,4164.127484701695,1327.46455732284238
현장공사분-타일및돌공사,Floors,21,4,5997.9789004863983555,586.59545394880863276
현장공사분-타일및돌공사,Rooms,1,0,0,0
현장공사분-타일및돌공사,Walls,113,5,2875.898126002176755205,401.2497641826798705180
